# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 528789 542445 181350 542445
-1.07325476015 -42631.8429214 0.0260169303 502410 542778 220898 672513
-2.1639913765 -1548.96471797 0.550352352459 482079 543007 223050 714896
-3.29681232773 -568.167719419 0.929139779291 444734 543218 230033 717280
-4.40783223083 -406.026704398 0.644730103279 403941 542377 242374 722128
-5.48244537071 -337.667219895 0.531821725406 387082 543129 230537 736620
-6.61357043406 -318.868600143 0.49205011447 371495 542968 246139 726335
-7.68050195208 -311.966749766 0.808730912934 364397 543198 280345 736449
-8.65227803467 -309.439299277 0.602736429993 356283 542801 240573 763171
-9.77847435377 -308.252740569 0.516016300555 342065 540527 237812 727177
-10.8741027376 -307.832319962 0.747088236433 321496 540657 284836 725837
-11.8207654374 -307.679275124 0.0689901332169 289414 540795 287628 766647
-12.8044549499 -307.322294221 0.632003486589 267177 542111 340484 777325
-13.6573846701 -306.511706152 0.0287768475815 254550 543852 311510 820765
-14.6311633294 -304.901446731 0.806868852479 247613 545163 350942 799360
-15.4814803956 -303.078005552 0.536407131287 244897 545444 318545 828648
-16.4444285566 -300.415980587 0.895018385919 245676 545786 274575 804210
-17.5064127312 -296.254776565 0.213848502472 252167 545116 282788 767212
-18.5048086563 -290.972714957 0.546987354163 260002 545182 192601 769749
-19.813165368 -282.623229125 0.526467660779 270139 544577 203613 696002
-20.9957285824 -275.596162695 0.862333522899 277918 543745 239982 699083
-22.0518034211 -270.055668322 0.671021888613 281445 543931 266611 729031
-23.0566703347 -265.151564838 0.502083031414 279794 543475 284160 753190
-24.0357807537 -260.465806735 0.156844673068 277747 543384 297090 768609
-24.9945942562 -255.996744405 0.974534249195 274985 542682 276450 778532
-26.023913432 -251.449642825 0.691252771274 273573 543070 274879 764468
-27.0428094253 -247.180562096 0.34609758148 269986 543311 267176 761867
-28.0822828146 -242.945973926 0.879366323181 265912 543671 286443 756569
-29.0584473225 -239.204510056 0.527728389821 262691 543722 302745 771486
-30.0045677957 -235.626026615 0.733658355652 259352 544461 284520 787087
-31.0191482415 -231.833892912 0.290475971497 255542 544217 288820 773489
-32.0067679885 -228.278560307 0.542281990632 251986 542827 282283 771918
-33.0117190392 -224.725217033 0.422442332838 249075 542588 284689 765404
-34.0025991069 -221.297895388 0.311051852578 246294 541967 257080 765645
-35.077694297 -217.594839172 0.917289689375 242720 541951 247275 745875
-36.1627520397 -213.891553431 0.955282416461 241075 541657 257762 736165
-37.2032527365 -210.518443147 0.27193037887 238491 541860 231683 743097
-38.3376291424 -206.851020436 0.493663925541 235602 540693 272156 721989
-39.3175974354 -203.821675215 0.658715348996 233479 540429 274597 752415
-40.3241899926 -200.826417214 0.526908534313 231200 538738 249758 754014
-41.4101145326 -197.701226772 0.78593168612 230522 538783 234981 735668
-42.5248993407 -194.549751359 0.292422599631 227709 539668 202342 724101
-43.7446984227 -191.203825591 0.0923190459239 225635 539183 201484 697764
-44.9374885159 -188.151977353 0.526844152697 223077 539154 231913 693999
-46.01505139 -185.674720398 0.218799962421 220190 538967 220185 717634
-47.1612438436 -183.078286445 0.643299144744 218740 537905 237537 706574
-48.2342540976 -180.805704127 0.208819267961 216021 537219 193321 721173
-49.4859709377 -178.277659326 0.529812668405 213105 535761 182016 686105
-50.7429825498 -175.902652864 0.577754014061 209522 535314 189863 673314
-51.9525782717 -173.780928157 0.81886600007 206935 533183 264158 679178
-52.9071910815 -172.250325321 0.353785149668 205476 533107 275422 737392
-53.8946706228 -170.762828972 0.932781502309 204068 533145 234914 749655
-55.0252120715 -169.134090053 0.173385164965 202575 533729 214880 719170
-56.1923995116 -167.536482377 0.689360821158 200811 533527 212562 701285
-57.3475151005 -166.066608555 0.774666160728 199262 530979 219505 695670
-58.4707533238 -164.690512903 0.661458625436 196861 528162 214935 701459
-59.6173443129 -163.359384226 0.892829356468 195652 529002 225653 698021
-60.7214326683 -162.173886051 0.23962140365 194506 527755 219112 706462
-61.8586482291 -160.939982849 0.97594015215 192614 526408 273649 705174
-62.8148162677 -160.001475348 0.713762767586 191610 526329 336027 745095
-63.6439271763 -159.232941112 0.118688610897 191632 526672 328468 798098
-64.5494259169 -158.382481864 0.866156781733 191795 525534 328499 794853
-65.4514451078 -157.551895281 0.891039879767 190801 525393 296801 794275
-66.4383913244 -156.643286821 0.581249052635 191294 526505 270502 769934
-67.4764239913 -155.699749741 0.998179300264 190559 526972 321100 747821
-68.3471512645 -154.989277833 0.107038391546 189143 527310 339132 782990
-69.2095159133 -154.312376449 0.902972528395 189125 527910 347978 799144
-70.0668787542 -153.635139284 0.888600266842 188423 527478 253481 808500
-71.1988041505 -152.69694168 0.242303459724 187830 526802 192226 732776
-72.4679942162 -151.657360417 0.295855806928 187732 528383 181595 681521
-73.7213155274 -150.666184757 0.718522543754 188766 529706 134327 670998
-75.1816070682 -149.428548139 0.553969129424 190360 531896 133664 637494
-76.6041001288 -148.152780717 0.540686211504 192722 534310 188121 639334
-77.7790158612 -147.110207043 0.506027159707 193114 535299 215223 684257
-78.9043376098 -146.110271886 0.00183447006454 194414 535731 252200 708726
-79.9314369432 -145.21962264 0.880368940832 196065 536854 262941 740512
-80.9605267337 -144.334482372 0.382161262208 195917 537195 297310 750968
-81.8995017277 -143.538405976 0.943793285583 196692 535845 310898 775709
-82.8278160842 -142.721847433 0.0799943698433 196435 533377 310198 785958
-83.7689444624 -141.85347846 0.712948951289 197370 532667 319689 786447
-84.6851517672 -140.970995462 0.0482431799644 198085 532142 246637 795242
-85.8254717302 -139.796872533 0.461944239878 198472 531038 248110 738774
-86.899913248 -138.759384132 0.739642626531 198962 530613 231409 732320
-88.0232049755 -137.695105204 0.92384351256 202209 530562 208540 718962
-89.2136485974 -136.525833353 0.0311956187395 205168 532603 279920 703765
-90.1494604815 -135.6686617 0.272800828367 208768 535229 376256 760309
-90.8980998478 -135.017003044 0.1925102961 210248 536881 329085 838182
-91.8430688365 -134.139551152 0.137810200619 213694 539329 350581 809395
-92.7046948701 -133.39333019 0.961318628199 214302 540299 352788 825844
-93.5777945105 -132.618295066 0.373258425662 217918 541017 392986 832128
-94.3639373896 -131.913045905 0.155610932578 218874 541302 312670 866139
-95.3798939345 -130.993543966 0.768561965366 219052 541595 315801 803195
-96.3240198373 -130.185316823 0.923315285308 221308 542394 359215 799596
-97.1545630867 -129.507025893 0.995748248217 220204 543148 307150 837536
-98.157193711 -128.62431229 0.831892116677 220785 543187 277263 799041
-99.205746143 -127.774998737 0.159212598688 220090 543447 288704 767663
-100.187426873 -127.003926625 0.0951750762113 218691 545107 329922 780030
-101.070095799 -126.356509686 0.551464753801 218309 546075 295343 810119
-102.077657105 -125.598979663 0.930739596544 215719 545404 310018 786574
-103.01992653 -124.910580809 0.375791819361 213761 545046 304778 802148
-103.992881661 -124.230987204 0.0296104984194 210837 543988 317988 792099
-104.919566757 -123.611063119 0.69744887531 209913 544465 301467 802022
-105.901555138 -122.947145854 0.950084146248 208138 544135 257463 792724
-107.00432866 -122.22933887 0.840934556737 204907 543986 270862 761299
-108.031918555 -121.596737802 0.313333819884 202720 543983 297312 770194
-108.991816221 -121.009741068 0.277656729505 200955 544974 313688 788656
-109.926368648 -120.448616091 0.362709934024 200959 545846 384688 805994
-110.704329608 -119.994110809 0.300714597933 200241 547117 371748 860167
-111.566613414 -119.521337858 0.264080058378 199037 548730 349972 855721
-112.476501245 -119.051953898 0.0619696380516 198435 550882 399085 841454
-113.258589814 -118.665409883 0.642987777542 198214 551718 394405 883020
-114.091708826 -118.259250228 0.967968399339 195617 552452 424833 882660
-114.859412147 -117.912337983 0.659452010445 194685 553332 508863 906239
-115.489122219 -117.639706923 0.590258523053 194175 553895 431399 979969
-116.33270358 -117.261674488 0.635689989843 191844 553837 337739 922423
-117.336740471 -116.82242967 0.191416767111 190983 553561 282900 840129
-118.410658665 -116.361795213 0.243549064776 188802 554077 282846 788690
-119.431830513 -115.953452548 0.326425726863 187033 554795 263597 787763
-120.510125123 -115.52703415 0.0240688693511 184146 553723 287144 774135
-121.50327992 -115.169824883 0.470704959119 182956 552611 268741 788385
-122.566371454 -114.796264929 0.172814038303 179967 548832 237356 769962
-123.710738952 -114.410693932 0.857473710369 178581 548331 207954 745157
-124.932811167 -113.998866459 0.931712077269 177267 547644 239697 720025
-126.013979522 -113.66739744 0.846676417095 175380 544641 286019 741813
-126.975111239 -113.375923468 0.0513552454723 174810 544037 243305 778836
